kampId,side,rowIndex,role,number,name,born,status
35954,AWAY,4,,28,Emil Brouer Enevoldsen,,closed
35954,AWAY,5,,30,Patrik Melis,,closed
35954,AWAY,6,,55,Oskar Bendsen,,closed
35954,AWAY,7,,61,Jeppe Viberg,,closed
35954,AWAY,8,,62,Gustav Johannes Chatterton,,closed
35954,AWAY,9,,72,Peter Brandt Vand,,closed
35954,AWAY,10,,77,Simon Lysdahl Sørensen,,closed
35954,AWAY,11,,88,Vitus Kuskegaard,,closed
35954,AWAY,12,,88,Vitus Kuskegaard,,closed
35954,AWAY,13,,90,Jonas Palner Jensen,,closed
35312,HOME,0,,1,Mike Trolle Lind,,closed
35312,HOME,1,,1,Mike Trolle Lind,,closed
35312,HOME,2,,2,Mathias Fischer Hoerby Jensen,,closed
35312,HOME,3,,4,Lucas Madsen,,closed
35312,HOME,4,,6,Mathias Simon Thorsen,,closed
35312,HOME,5,,7,Rasmus Madsen,,closed
35312,HOME,6,,7,Rasmus Madsen,,closed
35312,HOME,7,,10,Andre Stich,,closed
35312,HOME,8,,12,Jannik Trolle,,closed
35312,HOME,9,,19,Anders Grønborg,,closed
35312,HOME,10,,21,Casper Lindhardt Christensen,,closed
35312,HOME,11,,25,Marko W. Krogsgaard,,closed
35312,HOME,12,,45,Jonas Nordheim,,closed
35312,HOME,13,,47,Christian Sørensen,,closed
35312,HOME,14,,55,Magnus Bonavent Rasmussen,,closed
35312,HOME,15,,86,Casper Breitenbach,,closed
35312,HOME,16,,89,Kenneth Danielsen,,closed
35312,HOME,17,,90,Malthe Daae Christensen,,closed
35312,HOME,18,,92,Frederik Kobberup,,closed
35312,HOME,19,,99,Simon Kristensen,,closed
35312,AWAY,0,,4,Malthe Kjær,,closed
35312,AWAY,1,,5,Elias Suensen,,closed
35312,AWAY,2,,6,Rasmus Rask Kjær Poulsen,,closed
35312,AWAY,3,,8,Noah Vilsted,,closed
35312,AWAY,4,,10,Jeppe Huscher Andersen,,closed
35312,AWAY,5,,11,Zimon Peters,,closed
35312,AWAY,6,,24,Mikkel Benjamin Christensen,,closed
35312,AWAY,7,,32,Jonas Gylling,,closed
35312,AWAY,8,,36,Mathias De Fries Olderkjær,,closed
