KampNr,Kamp,Dato,KampID,Sæson,Stadie,Periode,teamid,number,Event,Nummer,Spiller,Tid
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29507,208,Penalty,5,Elias Suensen,2539
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29507,1,Goal,24,Mikkel Benjamin Christensen,3011
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29507,0,Assist,90,Nicolai Børner,3011
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29512,1,Goal,53,August Lunddahl Mathiassen,3110
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29512,0,Assist,16,Rasmus Bømervang,3110
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29507,1,Goal,32,Jonas Gylling Nielsen,3264
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29507,504,Penalty,90,Nicolai Børner,3274
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29512,216,Penalty,53,August Lunddahl Mathiassen,3401
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29507,1,Goal,98,Mathias Mortensen,3418
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29507,0,Assist,11,Zimon Peters,3418
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29512,0,Assist,77,Andreas Kleczewski,3557
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,3,29512,1,Goal,17,Jannik L. Dalkvist,3557
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,1,29510,201,Penalty,22,Peter Steen Jensen,1009
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,1,29508,1,Goal,8,Gustav Damgaard Larsen,1035
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,1,29508,0,Assist,30,Sophus Gormsen,1035
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,1,29508,1,Goal,18,Julius Kjærgaard,1124
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,1,29508,0,Assist,89,Kristers Kuznecovs,1124
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,1,29510,0,Assist,81,Jesper Schow,1151
40000937,RungstedHørsholm - Hafnia FC,44815,35307,20222023,Grundspil,1,29510,1,Goal,66,Jeppe Trier,1151
